Date,Exchange,FX,Return,r,3m,3mvUS,OI,NCL,NCS,NCSP,CL,CS,TRL,TRS,NRL,NRS,Contract
30/12/2008,CAD,1.2199,-0.04%,-0.0004,1.55,-0.01,47479,8473,18828,1028,16147,11281,25648,31137,21831,16342,"(CONTRACTS OF CAD 100,000)"
22/12/2008,CAD,1.2194,-1.23%,-0.0122,1.57,-0.17,43701,9345,19375,779,13793,8485,23917,28639,19784,15062,"(CONTRACTS OF CAD 100,000)"
16/12/2008,CAD,1.2046,4.79%,0.0491,1.65,-0.17,85413,10729,17477,3051,47649,46427,61429,66955,23984,18458,"(CONTRACTS OF CAD 100,000)"
09/12/2008,CAD,1.2652,-1.04%,-0.0103,2,-0.05,86795,12579,21408,1654,48345,43410,62578,66472,24217,20323,"(CONTRACTS OF CAD 100,000)"
02/12/2008,CAD,1.2522,-2.21%,-0.0219,2.05,-1.28,88581,13076,22783,3039,51053,45416,67168,71238,21413,17343,"(CONTRACTS OF CAD 100,000)"
25/11/2008,CAD,1.2251,0.22%,0.0022,2.45,-0.99,83766,12521,18790,3351,44510,44179,60382,66320,23384,17446,"(CONTRACTS OF CAD 100,000)"
18/11/2008,CAD,1.2278,-1.89%,-0.0187,3.04,0.77,92554,15426,22603,2976,48759,47530,67161,73109,25393,19445,"(CONTRACTS OF CAD 100,000)"
11/11/2008,CAD,1.205,-4.75%,-0.0464,2.97,0.55,98146,16067,19312,3559,54695,56699,74321,79570,23825,18576,"(CONTRACTS OF CAD 100,000)"
04/11/2008,CAD,1.1504,9.52%,0.1001,3.04,0.72,107787,17145,24639,3820,57222,55389,78187,83848,29600,23939,"(CONTRACTS OF CAD 100,000)"
28/10/2008,CAD,1.2715,-4.77%,-0.0466,3.14,-0.43,107866,18065,27912,4054,59656,56179,81775,88145,26091,19721,"(CONTRACTS OF CAD 100,000)"
21/10/2008,CAD,1.2136,-4.49%,-0.0439,3.48,-0.02,111438,20698,33093,3162,64022,53851,87882,90106,23556,21332,"(CONTRACTS OF CAD 100,000)"
14/10/2008,CAD,1.1615,-5.22%,-0.0509,4.14,-0.34,98295,16220,34104,3200,56665,42642,76085,79946,22210,18349,"(CONTRACTS OF CAD 100,000)"
07/10/2008,CAD,1.1039,-3.73%,-0.0366,4.11,-0.59,94501,18431,35583,3941,51447,33907,73819,73431,20682,21070,"(CONTRACTS OF CAD 100,000)"
30/09/2008,CAD,1.0642,-2.60%,-0.0257,4.26,-0.07,93626,19691,37712,5921,47684,30293,73296,73926,20330,19700,"(CONTRACTS OF CAD 100,000)"
23/09/2008,CAD,1.0372,3.14%,0.0319,3.88,-0.2,92330,17090,35743,4726,47346,30429,69162,70898,23168,21432,"(CONTRACTS OF CAD 100,000)"
16/09/2008,CAD,1.0708,0.06%,0.0006,3.25,0.53,145036,33090,43312,5280,80684,70204,119054,118796,25982,26240,"(CONTRACTS OF CAD 100,000)"
09/09/2008,CAD,1.0714,-0.40%,-0.004,3.33,0.48,142344,36134,46118,7945,74147,62721,118226,116784,24118,25560,"(CONTRACTS OF CAD 100,000)"
02/09/2008,CAD,1.0671,-1.82%,-0.0181,3.2,0.34,122277,37205,54779,5813,54447,34106,97465,94698,24812,27579,"(CONTRACTS OF CAD 100,000)"
26/08/2008,CAD,1.048,1.17%,0.0118,3.2,0.45,116253,33329,49093,4366,50528,35142,88223,88601,28030,27652,"(CONTRACTS OF CAD 100,000)"
19/08/2008,CAD,1.0604,0.39%,0.0039,3.16,0.25,126865,38641,66726,4538,58423,27097,101602,98361,25263,28504,"(CONTRACTS OF CAD 100,000)"
12/08/2008,CAD,1.0645,-2.13%,-0.0211,3.08,0.23,121154,33650,58979,5604,55920,29761,95174,94344,25980,26810,"(CONTRACTS OF CAD 100,000)"
05/08/2008,CAD,1.0423,-1.82%,-0.018,3.19,0.36,116660,35442,54214,4270,50256,32458,89968,90942,26692,25718,"(CONTRACTS OF CAD 100,000)"
29/07/2008,CAD,1.0237,-1.59%,-0.0158,3.2,0.49,97065,29682,31928,3570,35531,40381,68783,75879,28282,21186,"(CONTRACTS OF CAD 100,000)"
22/07/2008,CAD,1.0077,-0.67%,-0.0067,3.19,0.31,99845,43572,21683,3280,22765,53058,69617,78021,30228,21824,"(CONTRACTS OF CAD 100,000)"
15/07/2008,CAD,1.001,1.75%,0.0176,3.2,0.33,97365,39972,27113,2162,25494,48159,67628,77434,29737,19931,"(CONTRACTS OF CAD 100,000)"
08/07/2008,CAD,1.0188,0.33%,0.0033,3.24,0.24,91389,30183,36135,2426,30157,29263,62766,67824,28623,23565,"(CONTRACTS OF CAD 100,000)"
01/07/2008,CAD,1.0222,-1.03%,-0.0102,3.29,0.47,87207,24732,34522,2216,29255,26447,56203,63185,31004,24022,"(CONTRACTS OF CAD 100,000)"
24/06/2008,CAD,1.0118,0.69%,0.0069,3.24,0.39,84325,27397,31886,2218,23960,21945,53575,56049,30750,28276,"(CONTRACTS OF CAD 100,000)"
17/06/2008,CAD,1.0188,0.29%,0.0029,3.45,0.56,130634,36386,37337,2288,50605,51433,89279,91058,41355,39576,"(CONTRACTS OF CAD 100,000)"
10/06/2008,CAD,1.0218,-1.29%,-0.0128,3.28,0.45,123950,43276,25697,4755,32551,62810,80582,93262,43368,30688,"(CONTRACTS OF CAD 100,000)"
03/06/2008,CAD,1.0088,-1.45%,-0.0144,3.26,0.58,122819,63825,18087,2737,23136,75731,89698,96555,33121,26264,"(CONTRACTS OF CAD 100,000)"
27/05/2008,CAD,0.9944,-0.21%,-0.0021,3.02,0.38,127620,69636,19511,1851,21937,87714,93424,109076,34196,18544,"(CONTRACTS OF CAD 100,000)"
20/05/2008,CAD,0.9923,1.13%,0.0113,3.12,0.48,115665,53118,21700,2029,26201,73244,81348,96973,34317,18692,"(CONTRACTS OF CAD 100,000)"
13/05/2008,CAD,1.0036,-0.10%,-0.001,3.18,0.48,108527,46246,16837,2370,29641,71080,78257,90287,30270,18240,"(CONTRACTS OF CAD 100,000)"
06/05/2008,CAD,1.0026,1.02%,0.0102,3.2,0.43,114709,48104,16392,1848,33442,76584,83394,94824,31315,19885,"(CONTRACTS OF CAD 100,000)"
29/04/2008,CAD,1.0129,-0.61%,-0.006,3.35,0.45,98159,31816,24388,1947,38261,54704,72024,81039,26135,17120,"(CONTRACTS OF CAD 100,000)"
22/04/2008,CAD,1.0068,1.05%,0.0106,3.45,0.45,105665,43836,26466,2354,31165,60177,77355,88997,28310,16668,"(CONTRACTS OF CAD 100,000)"
15/04/2008,CAD,1.0175,-0.45%,-0.0045,3.48,0.73,104970,33518,28015,2534,43773,56688,79825,87237,25145,17733,"(CONTRACTS OF CAD 100,000)"
08/04/2008,CAD,1.0129,0.92%,0.0092,3.38,0.56,106562,37519,30955,2722,40782,55327,81023,89004,25539,17558,"(CONTRACTS OF CAD 100,000)"
01/04/2008,CAD,1.0223,-0.53%,-0.0053,3.42,0.66,100329,28382,27659,2353,42498,53557,73233,83569,27096,16760,"(CONTRACTS OF CAD 100,000)"
25/03/2008,CAD,1.0169,-2.49%,-0.0246,3.49,0.9,98867,28183,26005,2284,41813,54591,72280,82880,26587,15987,"(CONTRACTS OF CAD 100,000)"
18/03/2008,CAD,0.9922,-0.10%,-0.001,3.53,0.92,127275,43416,22517,6663,47073,78320,97152,107500,30123,19775,"(CONTRACTS OF CAD 100,000)"
11/03/2008,CAD,0.9912,0.24%,0.0024,3.56,0.79,117606,50353,21422,2427,31350,76213,84130,100062,33476,17544,"(CONTRACTS OF CAD 100,000)"
04/03/2008,CAD,0.9936,-1.09%,-0.0108,3.5,0.63,117986,60105,23699,2016,22427,75358,84548,101073,33438,16913,"(CONTRACTS OF CAD 100,000)"
26/02/2008,CAD,0.9829,3.36%,0.0342,3.7,0.63,110073,50323,24139,1865,26233,67921,78421,93925,31652,16148,"(CONTRACTS OF CAD 100,000)"
19/02/2008,CAD,1.0171,-1.63%,-0.0162,3.73,0.66,95614,33387,21440,1213,28562,53308,63162,75961,32452,19653,"(CONTRACTS OF CAD 100,000)"
12/02/2008,CAD,1.0008,0.60%,0.006,3.85,0.95,101187,43391,22956,1639,22399,60784,67429,85379,33758,15808,"(CONTRACTS OF CAD 100,000)"
05/02/2008,CAD,1.0068,-0.86%,-0.0086,3.72,0.76,93574,30603,20363,1776,32036,54769,64415,76908,29159,16666,"(CONTRACTS OF CAD 100,000)"
29/01/2008,CAD,0.9982,2.89%,0.0293,3.79,0.55,90907,25948,21653,1870,34077,48253,61895,71776,29012,19131,"(CONTRACTS OF CAD 100,000)"
22/01/2008,CAD,1.0279,-1.09%,-0.0109,4,0.68,86378,24463,16786,2761,30984,46841,58208,66388,28170,19990,"(CONTRACTS OF CAD 100,000)"
15/01/2008,CAD,1.0168,-1.01%,-0.0101,4.05,0.1,81827,22866,15101,3057,27093,46562,53016,64720,28811,17107,"(CONTRACTS OF CAD 100,000)"
08/01/2008,CAD,1.0066,-1.47%,-0.0146,4.28,-0.01,82454,31648,15224,2300,19093,48776,53041,66300,29413,16154,"(CONTRACTS OF CAD 100,000)"
31/12/2007,CAD,0.992,-0.72%,-0.0072,4.6,-0.13,83024,35655,12657,1405,18604,52488,55664,66550,27360,16474,"(CONTRACTS OF CAD 100,000)"
24/12/2007,CAD,0.9849,2.04%,0.0206,4.7,-0.07,77357,29959,15236,1405,18913,45440,50277,62081,27080,15276,"(CONTRACTS OF CAD 100,000)"
18/12/2007,CAD,1.0054,0.95%,0.0095,4.65,-0.34,121294,34895,11608,2909,54390,88867,92194,103384,29100,17910,"(CONTRACTS OF CAD 100,000)"
11/12/2007,CAD,1.015,-0.28%,-0.0028,4.81,-0.47,118951,30935,12271,3387,52568,85898,86890,101556,32061,17395,"(CONTRACTS OF CAD 100,000)"
04/12/2007,CAD,1.0122,-1.72%,-0.017,4.9,-0.29,114020,34194,18870,3673,46196,74920,84063,97463,29957,16557,"(CONTRACTS OF CAD 100,000)"
27/11/2007,CAD,0.9951,-1.64%,-0.0163,4.94,-0.12,112354,39532,10533,3155,42233,79718,84920,93406,27434,18948,"(CONTRACTS OF CAD 100,000)"
20/11/2007,CAD,0.979,-2.03%,-0.0201,4.88,-0.02,109533,41574,9282,3161,36064,76809,80799,89252,28734,20281,"(CONTRACTS OF CAD 100,000)"
13/11/2007,CAD,0.9595,-4.14%,-0.0405,4.78,-0.02,121478,55876,9153,2720,31485,89586,90081,101459,31397,20019,"(CONTRACTS OF CAD 100,000)"
06/11/2007,CAD,0.9214,3.30%,0.0335,4.75,-0.06,138502,75532,11944,2259,28379,97919,106170,112122,32332,26380,"(CONTRACTS OF CAD 100,000)"
30/10/2007,CAD,0.9528,1.36%,0.0137,4.78,0.05,137711,79052,10221,2187,23079,102463,104318,114871,33393,22840,"(CONTRACTS OF CAD 100,000)"
23/10/2007,CAD,0.9659,1.34%,0.0135,4.82,-0.06,140205,82625,11302,2525,20742,103728,105892,117555,34313,22650,"(CONTRACTS OF CAD 100,000)"
16/10/2007,CAD,0.979,0.16%,0.0016,4.9,-0.22,147428,90940,13991,2115,18037,109362,111092,125468,36336,21960,"(CONTRACTS OF CAD 100,000)"
09/10/2007,CAD,0.9806,1.76%,0.0178,4.88,-0.27,157628,99617,16616,2047,20303,119915,121967,138578,35661,19050,"(CONTRACTS OF CAD 100,000)"
02/10/2007,CAD,0.9982,0.68%,0.0068,4.86,-0.43,144193,87538,18359,1979,19290,104569,108807,124907,35386,19286,"(CONTRACTS OF CAD 100,000)"
25/09/2007,CAD,1.005,0.82%,0.0082,4.83,-0.41,126605,73042,13880,2179,18564,88538,93785,104597,32820,22008,"(CONTRACTS OF CAD 100,000)"
18/09/2007,CAD,1.0133,2.76%,0.028,5,-0.2,167680,88758,8930,7683,33172,125869,129613,142482,38067,25198,"(CONTRACTS OF CAD 100,000)"
11/09/2007,CAD,1.0421,0.59%,0.0059,5.18,-0.53,145388,78149,19395,4046,30595,103342,112790,126783,32598,18605,"(CONTRACTS OF CAD 100,000)"
04/09/2007,CAD,1.0483,1.61%,0.0162,5.01,-0.72,135940,73234,21889,3884,30583,91730,107701,117503,28239,18437,"(CONTRACTS OF CAD 100,000)"
28/08/2007,CAD,1.0654,-0.15%,-0.0015,4.83,-0.63,133856,68013,22919,2516,36520,88212,107049,113647,26807,20209,"(CONTRACTS OF CAD 100,000)"
21/08/2007,CAD,1.0638,0.35%,0.0035,4.76,-0.69,128591,60044,20011,3760,38332,85060,102136,108831,26455,19760,"(CONTRACTS OF CAD 100,000)"
14/08/2007,CAD,1.0675,-1.24%,-0.0123,4.7,-0.79,134044,66527,18717,3851,32100,88453,102478,111021,31566,23023,"(CONTRACTS OF CAD 100,000)"
07/08/2007,CAD,1.0544,1.18%,0.0119,4.58,-0.74,135946,71689,19751,2162,30031,95508,103882,117421,32064,18525,"(CONTRACTS OF CAD 100,000)"
31/07/2007,CAD,1.067,-3.02%,-0.0298,4.66,-0.64,133951,68138,18440,2914,28278,94909,99330,116263,34621,17688,"(CONTRACTS OF CAD 100,000)"
24/07/2007,CAD,1.0357,0.76%,0.0076,4.55,-0.76,158948,94483,17519,2833,25054,118037,122370,138389,36578,20559,"(CONTRACTS OF CAD 100,000)"
17/07/2007,CAD,1.0436,1.01%,0.0101,4.55,-0.76,150522,85281,18009,1537,27001,110312,113819,129858,36703,20664,"(CONTRACTS OF CAD 100,000)"
10/07/2007,CAD,1.0542,0.66%,0.0066,4.51,-0.81,143434,82889,15511,1483,22255,106004,106627,122998,36807,20436,"(CONTRACTS OF CAD 100,000)"
03/07/2007,CAD,1.0612,0.76%,0.0076,4.47,-0.82,143135,79653,14400,1489,26909,104004,108051,119893,35084,23242,"(CONTRACTS OF CAD 100,000)"
26/06/2007,CAD,1.0693,-0.65%,-0.0065,4.43,-0.83,139879,82053,13190,1479,25696,103754,109228,118423,30651,21456,"(CONTRACTS OF CAD 100,000)"
19/06/2007,CAD,1.0624,0.48%,0.0048,4.37,-0.92,243351,92321,33525,3633,115191,163257,211145,200415,32206,42936,"(CONTRACTS OF CAD 100,000)"
12/06/2007,CAD,1.0675,-0.38%,-0.0038,4.33,-0.95,232090,98404,36399,4125,95888,165135,198417,205659,33673,26431,"(CONTRACTS OF CAD 100,000)"
05/06/2007,CAD,1.0635,0.95%,0.0095,4.28,-1,184722,85481,41623,2771,60498,113313,148750,157707,35972,27015,"(CONTRACTS OF CAD 100,000)"
29/05/2007,CAD,1.0737,1.16%,0.0117,4.28,-1.01,186775,92150,40130,2357,53283,117771,147790,160258,38985,26517,"(CONTRACTS OF CAD 100,000)"
22/05/2007,CAD,1.0863,1.07%,0.0108,4.21,-1.05,172032,83891,44924,2194,51326,99885,137411,147003,34621,25029,"(CONTRACTS OF CAD 100,000)"
15/05/2007,CAD,1.0981,0.59%,0.0059,4.18,-1.08,168888,82619,39522,1358,50330,102977,134307,143857,34581,25031,"(CONTRACTS OF CAD 100,000)"
08/05/2007,CAD,1.1046,0.58%,0.0058,4.18,-1.08,146311,65117,47298,2702,46655,72121,114474,122121,31837,24190,"(CONTRACTS OF CAD 100,000)"
01/05/2007,CAD,1.111,0.91%,0.0091,4.19,-1.07,138029,52582,43731,2873,49392,67864,104847,114468,33182,23561,"(CONTRACTS OF CAD 100,000)"
24/04/2007,CAD,1.1212,0.78%,0.0078,4.19,-1.06,121786,39017,40648,3041,48384,54708,90442,98397,31344,23389,"(CONTRACTS OF CAD 100,000)"
17/04/2007,CAD,1.13,1.49%,0.015,4.18,-1.09,114610,25549,41540,3181,56053,45950,84783,90671,29827,23939,"(CONTRACTS OF CAD 100,000)"
10/04/2007,CAD,1.1471,0.98%,0.0098,4.18,-1.08,110266,23062,38626,2729,56080,43876,81871,85231,28395,25035,"(CONTRACTS OF CAD 100,000)"
03/04/2007,CAD,1.1584,-0.13%,-0.0013,4.18,-1.07,113096,22068,57233,2232,59240,29139,83540,88604,29556,24492,"(CONTRACTS OF CAD 100,000)"
27/03/2007,CAD,1.1569,0.36%,0.0036,4.18,-1.07,114484,24613,56595,2011,60928,28841,87552,87447,26932,27037,"(CONTRACTS OF CAD 100,000)"
20/03/2007,CAD,1.1611,1.11%,0.0111,4.17,-1.08,161700,21021,72174,7578,107201,42555,135800,122307,25900,39393,"(CONTRACTS OF CAD 100,000)"
13/03/2007,CAD,1.1741,0.16%,0.0016,4.16,-1.09,159619,15758,89897,6134,110907,35249,132799,131280,26820,28339,"(CONTRACTS OF CAD 100,000)"
06/03/2007,CAD,1.176,-0.80%,-0.0079,4.19,-1.07,156871,21585,96510,2969,103674,31004,128228,130483,28643,26388,"(CONTRACTS OF CAD 100,000)"
27/02/2007,CAD,1.1667,0.24%,0.0024,4.2,-1.05,137776,17563,73987,2665,87030,32646,107258,109298,30518,28478,"(CONTRACTS OF CAD 100,000)"
20/02/2007,CAD,1.1695,-0.27%,-0.0027,4.2,-1.1,141561,17005,82431,2375,91971,28388,111351,113194,30210,28367,"(CONTRACTS OF CAD 100,000)"
13/02/2007,CAD,1.1664,1.34%,0.0135,4.21,-1.09,140722,19930,76625,2184,88942,32475,111056,111284,29666,29438,"(CONTRACTS OF CAD 100,000)"
06/02/2007,CAD,1.1823,-0.18%,-0.0018,4.21,-1.09,154591,18927,99573,2942,100689,23605,122558,126120,32033,28471,"(CONTRACTS OF CAD 100,000)"
30/01/2007,CAD,1.1802,-0.01%,-0.0001,4.21,-1.09,146376,21650,92526,2409,93856,22340,117915,117275,28461,29101,"(CONTRACTS OF CAD 100,000)"
23/01/2007,CAD,1.1801,-0.34%,-0.0034,4.21,-1.06,152395,22471,100328,2108,98006,20880,122585,123316,29810,29079,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)"
16/01/2007,CAD,1.1761,0.01%,0.0001,4.2,-1.06,152438,22030,100997,2061,99999,20027,124090,123085,28348,29353,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)"
09/01/2007,CAD,1.1762,-1.07%,-0.0107,4.2,-1.09,155922,20637,105543,1991,105129,18080,127757,125614,28165,30308,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)"
03/01/2007,CAD,1.1637,-0.28%,-0.0028,4.19,-1.07,148644,23583,97851,1905,96263,18737,121751,118493,26893,30151,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)"
26/12/2006,CAD,1.1604,-0.71%,-0.0071,4.21,-1.09,136963,21479,87773,1793,89638,18964,112910,108530,24053,28433,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)"
19/12/2006,CAD,1.1522,-0.01%,-0.0001,4.21,-1.09,183332,27186,84578,2347,118141,64063,147674,150988,35658,32344,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)"
12/12/2006,CAD,1.1521,-0.93%,-0.0092,4.2,-1.09,165716,26173,78181,5923,105049,52332,137145,136436,28571,29280,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)"
05/12/2006,CAD,1.1415,-1.01%,-0.01,4.18,-1.1,131624,24557,71036,1656,77624,31126,103837,103818,27787,27806,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)"
28/11/2006,CAD,1.1301,1.35%,0.0136,4.19,-1.08,124553,26934,67216,1667,69001,30727,97602,99610,26951,24943,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)"
21/11/2006,CAD,1.1456,-0.72%,-0.0072,4.19,-1.07,138113,23236,82129,1678,81123,29095,106037,112902,32076,25211,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)"
14/11/2006,CAD,1.1374,-0.74%,-0.0073,4.2,-1.09,129537,25902,73277,1400,70328,32426,97630,107103,31907,22434,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)"
07/11/2006,CAD,1.1291,-0.61%,-0.0061,4.23,-1.05,103426,24999,45341,1107,48484,36062,74590,82510,28836,20916,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)"
31/10/2006,CAD,1.1222,0.40%,0.004,4.22,-1.05,104350,23818,47496,1431,50020,33744,75269,82671,29081,21679,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)"
24/10/2006,CAD,1.1267,1.24%,0.0124,4.24,-1.04,100203,24985,39218,1093,45246,37415,71324,77726,28879,22477,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)"
17/10/2006,CAD,1.1408,-0.67%,-0.0067,4.24,-1.03,110173,26833,51331,1393,53383,32888,81609,85612,28564,24561,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)"
10/10/2006,CAD,1.1332,-0.98%,-0.0098,4.22,-1.09,91193,34272,32413,1350,26819,37285,62441,71048,28752,20145,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)"
03/10/2006,CAD,1.1222,-0.84%,-0.0083,4.23,-1.08,100141,45535,36256,1344,24368,43043,71247,80643,28894,19498,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)"
26/09/2006,CAD,1.1129,1.26%,0.0127,4.21,-1.08,94128,38542,32032,1093,25052,39995,64687,73120,29441,21008,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)"
19/09/2006,CAD,1.1271,-0.65%,-0.0065,4.23,-1.1,138838,41043,40188,1750,68379,75332,111172,117270,27666,21568,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)"
12/09/2006,CAD,1.1198,-0.76%,-0.0075,4.24,-1.1,138181,37739,22957,2217,62313,92568,102269,117742,35912,20439,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)"
05/09/2006,CAD,1.1114,-0.36%,-0.0036,4.24,-1.08,111705,49440,21974,2812,25144,68572,77396,93358,34309,18347,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)"
29/08/2006,CAD,1.1074,0.72%,0.0072,4.25,-1.09,106142,45977,15372,2366,23495,69190,71838,86928,34304,19214,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)"
22/08/2006,CAD,1.1154,0.52%,0.0052,4.25,-1.09,86667,27805,12312,1703,22640,53596,52148,67611,34519,19056,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)"
15/08/2006,CAD,1.1212,0.13%,0.0013,4.25,-1.1,86815,27206,18609,1135,24981,47565,53322,67309,33493,19506,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)"
08/08/2006,CAD,1.1227,0.70%,0.007,4.25,-1.14,82510,23185,13355,1135,21619,51755,45939,66245,36571,16265,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)"
01/08/2006,CAD,1.1306,0.95%,0.0095,4.26,-1.16,86048,18809,26225,1135,31501,40698,51445,68058,34603,17990,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)"
25/07/2006,CAD,1.1414,-0.42%,-0.0042,4.26,-1.17,91963,23613,29032,1657,31421,41951,56691,72640,35272,19323,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)"
18/07/2006,CAD,1.1366,-0.45%,-0.0045,4.29,-1.16,83415,23302,14018,1561,24893,48876,49756,64455,33659,18960,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)"
11/07/2006,CAD,1.1315,-2.18%,-0.0215,4.32,-1.14,92978,29942,18321,1528,24501,55460,55971,75309,37007,17669,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)"
03/07/2006,CAD,1.1074,1.40%,0.0141,4.31,-1.12,93841,42762,6315,1083,14847,71446,58692,78844,35149,14997,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)"
27/06/2006,CAD,1.1231,-0.47%,-0.0046,4.31,-1.15,89791,38165,7856,1083,15974,65982,55222,74921,34569,14870,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)"
20/06/2006,CAD,1.1179,-0.45%,-0.0045,4.32,-1.06,123446,37024,13046,1637,51442,92859,90103,107542,33343,15904,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)"
13/06/2006,CAD,1.1129,0.04%,0.0004,4.28,-1,129707,46579,13228,2212,44715,95815,93506,111255,36201,18452,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)"
06/06/2006,CAD,1.1133,-1.37%,-0.0136,4.25,-0.97,118798,44443,21581,2576,34859,76060,81878,100217,36920,18581,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)"
30/05/2006,CAD,1.0983,2.34%,0.0237,4.2,-0.98,109252,45937,14230,2912,25988,74774,74837,91916,34415,17336,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)"
23/05/2006,CAD,1.1246,-1.66%,-0.0165,4.18,-0.97,111976,36980,21278,2183,36757,71810,75920,95271,36056,16705,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)"
16/05/2006,CAD,1.1062,-0.62%,-0.0062,4.13,-0.99,117839,46060,26532,1304,32921,72276,80285,100112,37554,17727,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)"
09/05/2006,CAD,1.0994,0.64%,0.0064,4.14,-0.97,121046,52111,23238,1288,29342,77518,82741,102044,38305,19002,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)"
02/05/2006,CAD,1.1065,2.20%,0.0223,4.13,-0.97,110279,48997,16845,1542,29719,79539,80258,97926,30021,12353,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)"
25/04/2006,CAD,1.1314,0.81%,0.0081,4.04,-1.01,100591,31949,16326,2249,31603,67108,65801,85683,34790,14908,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)"
18/04/2006,CAD,1.1406,0.18%,0.0018,4.02,-1.01,93170,23225,16307,1467,36184,59243,60876,77017,32294,16153,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)"
11/04/2006,CAD,1.1427,1.71%,0.0173,4,-1,87690,24639,10697,1531,29815,58926,55985,71154,31705,16536,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)"
04/04/2006,CAD,1.1626,0.70%,0.007,3.9,-1.07,84301,12081,16227,1489,37058,50463,50628,68179,33673,16122,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)"
28/03/2006,CAD,1.1708,-0.63%,-0.0063,3.84,-1.08,87356,13274,21085,1432,37502,48602,52208,71119,35148,16237,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)"
21/03/2006,CAD,1.1635,-0.63%,-0.0063,3.78,-1.08,85219,18295,22037,1426,32225,46797,51946,70260,33273,14959,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)"
14/03/2006,CAD,1.1562,-0.57%,-0.0056,3.82,-1.04,125712,33979,19958,3137,50076,89290,87192,112385,38520,13327,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)"
07/03/2006,CAD,1.1497,-1.16%,-0.0115,3.81,-0.98,137195,55226,13903,1730,40234,105162,97190,120795,40005,16400,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)"
28/02/2006,CAD,1.1365,0.88%,0.0088,3.8,-0.93,124984,54931,14297,1609,27081,89171,83621,105077,41363,19907,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)"
21/02/2006,CAD,1.1466,0.62%,0.0062,3.72,-1,115876,46710,11513,1712,29696,87592,78118,100817,37758,15059,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)"
14/02/2006,CAD,1.1537,-0.04%,-0.0004,3.7,-0.98,118357,52220,11756,1622,27397,89061,81239,102439,37118,15918,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)"
07/02/2006,CAD,1.1532,-1.22%,-0.0121,3.66,-0.98,121889,56298,11453,1738,24823,93013,82859,106204,39030,15685,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)"
31/01/2006,CAD,1.1393,1.14%,0.0114,3.59,-1.09,117314,50705,13221,1561,27053,85577,79319,100359,37995,16955,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)"
24/01/2006,CAD,1.1524,0.95%,0.0096,3.55,-0.99,102095,35048,7915,975,28685,76880,64708,85770,37387,16325,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)"
